date, massif, risque1, evolurisque1, loc1, altitude, risque2, evolurisque2, loc2, risque_maxi, commentaire,url_telechargement
2020-12-14,AURE-LOURON,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.AURE-LOURON.20201214144304.pdf
2020-12-10,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,
2020-12-10,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.AURE-LOURON.20201210143902.pdf
2020-12-09,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.AURE-LOURON.20201209144643.pdf
2020-12-09,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,
2020-12-08,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,
2020-12-08,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.AURE-LOURON.20201208145530.pdf
2020-12-07,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,
2020-12-07,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.AURE-LOURON.20201207143816.pdf
2020-12-06,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.AURE-LOURON.20201206145952.pdf
2020-12-06,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,
2020-12-05,AURE-LOURON,-1,,,,,,,/,Information neige et avalanche rédigée à partir d'informations réduites,
