date,massif,risque1,evolurisque1,loc1,altitude,risque2,evolurisque2,loc2,risque_maxi,commentaire,url_telechargement,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2023-03-16,CINTO-ROTONDO,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230316144109.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-15,CINTO-ROTONDO,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230315143045.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-14,CINTO-ROTONDO,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230314150819.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-13,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230313144440.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-12,CINTO-ROTONDO,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230312142259.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-11,CINTO-ROTONDO,2,3,,,,,,3,Risque limité évoluant en Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230311144443.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-10,CINTO-ROTONDO,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230310144838.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-09,CINTO-ROTONDO,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230309144937.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-08,CINTO-ROTONDO,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230308145010.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-07,CINTO-ROTONDO,2,,<1800,1800,3,,>1800,3,Au-dessus de 1800 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230307141200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-06,CINTO-ROTONDO,2,,<1800,1800,3,,>1800,3,Au-dessus de 1800 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230306142739.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-05,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230305144048.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-04,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230304144032.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-03,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230303145841.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230302145836.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230301145001.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-28,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230228142028.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-27,CINTO-ROTONDO,1,3,,,,,,3,Risque faible évoluant en Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230227144439.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-26,CINTO-ROTONDO,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230226144852.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-24,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230224145906.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-23,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230223144837.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-22,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230222144912.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21,CINTO-ROTONDO,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230221134911.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-20,CINTO-ROTONDO,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230220144254.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-19,CINTO-ROTONDO,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230219144557.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-18,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230218144909.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-17,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230217150419.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-16,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230216142302.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15,CINTO-ROTONDO,1,,,,,,,1,Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230215145243.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-14,CINTO-ROTONDO,1,2,,,,,,2,Risque faible évoluant en Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230214143424.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-12,CINTO-ROTONDO,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230212145109.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,CINTO-ROTONDO,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230211144521.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10,CINTO-ROTONDO,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230210145219.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09,CINTO-ROTONDO,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230209143148.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-08,CINTO-ROTONDO,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230208145329.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07,CINTO-ROTONDO,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230207144828.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06,CINTO-ROTONDO,1,,<2000,2000,2,,>2000,2,Au-dessus de 2000 m : Risque limité. En-dessous : Risque faible.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230206150848.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-04,CINTO-ROTONDO,2,,,,,,,2,Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230204142819.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03,CINTO-ROTONDO,2,,<2000,2000,3,,>2000,3,Au-dessus de 2000 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230203150342.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-02,CINTO-ROTONDO,2,,<2000,2000,3,,>2000,3,Au-dessus de 2000 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230202145740.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,CINTO-ROTONDO,2,,<2000,2000,3,,>2000,3,Au-dessus de 2000 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230201150134.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,CINTO-ROTONDO,2,,<2000,2000,3,,>2000,3,Au-dessus de 2000 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230131144903.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30,CINTO-ROTONDO,2,,<2000,2000,3,,>2000,3,Au-dessus de 2000 m : Risque marqué. En-dessous : Risque limité.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230130144034.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-29,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230129145623.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-28,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230128144224.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-27,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230127145824.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-25,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230125150215.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230124145612.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230123144410.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-22,CINTO-ROTONDO,4,,,,,,,4,Risque fort.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230122145215.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-21,CINTO-ROTONDO,3,4,,,,,,4,Risque marqué évoluant en Risque fort.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230121145112.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-20,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230120150103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-19,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230119150308.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230118145518.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-17,CINTO-ROTONDO,3,,,,,,,3,Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230117144447.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15,CINTO-ROTONDO,2,3,,,,,,3,Risque limité évoluant en Risque marqué.,https://donneespubliques.meteofrance.fr/donnees_libres/Pdf/BRA/BRA.CINTO-ROTONDO.20230115150156.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
