date, massif, risque1, evolurisque1, loc1, altitude, risque2, evolurisque2, loc2, risque_maxi, commentaire
2022-03-12,CHABLAIS,1,,<2200,2200,2,,>2200,2,
2022-03-12,ARAVIS,1,,<2000,2000,2,,>2000,2, 
