date, massif, risque1, evolurisque1, loc1, altitude, risque2, evolurisque2, loc2, risque_maxi, commentaire
2022-04-29,CHABLAIS,2,,,,,,,2,Risque limité.
2022-04-30,CHABLAIS,1,2,,,,,,2,Risque faible évoluant en Risque limité.
